ANO;CODIGO_ESCOLA;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS
2024;42274;35042274;20204;PINDAMONHANGABA;WILSON PIRES CESAR PROFESSOR;PINDAMONHANGABA;;3,44
2024;42286;35042286;20207;JACAREI;ADHERBAL DE CASTRO PROF;JACAREI;;2,81
2024;42298;35042298;20206;TAUBATE;GERALDO MARTINS DOS SANTOS PROFESSOR;PARAIBUNA;;4,09
2024;42304;35042304;20205;SAO JOSE DOS CAMPOS;DORIVAL MONTEIRO DE OLIVEIRA PROFESSOR;SAO JOSE DOS CAMPOS;;
2024;42316;35042316;20205;SAO JOSE DOS CAMPOS;MALBA THEREZA FERRAZ CAMPANER PROFESSORA;SAO JOSE DOS CAMPOS;6,26;4,23
2024;42328;35042328;20205;SAO JOSE DOS CAMPOS;NELSON DO NASCIMENTO MONTEIRO PROFESSOR;SAO JOSE DOS CAMPOS;;
2024;42336;35042336;20205;SAO JOSE DOS CAMPOS;DOMINGOS DE MACEDO CUSTODIO PROFESSOR;SAO JOSE DOS CAMPOS;4,60;3,55
2024;42341;35042341;20206;TAUBATE;ROQUE PASSARELLI PROFESSOR;CACAPAVA;;2,78
2024;42389;35042389;20306;ITU;PERY GUARANY BLACKMAN PROF;ITU;;4,36
2024;42419;35042419;20308;SOROCABA;ELZA SALVESTRO BONILHA PROFESSORA;SOROCABA;5,43;2,72
2024;42420;35042420;20308;SOROCABA;RENATO SENECA DE SA FLEURY PROFESSOR;SOROCABA;;4,54
2024;42444;35042444;20308;SOROCABA;MARINA GROHMANN SOARES FERNANDES PROFESSORA;SOROCABA;6,00;
2024;42468;35042468;20310;VOTORANTIM;CLOTILDE BELINE CAPITANI PROFESSORA;VOTORANTIM;;5,13
2024;42473;35042473;20401;AMERICANA;CONSTANTINO AUGUSTO PINKE PROF;AMERICANA;;4,31
2024;42481;35042481;20401;AMERICANA;MARCELINO TOMBI PROF;AMERICANA;7,26;
2024;42500;35042500;20415;SUMARE;LUIZ CAMPO DALL ORTO SOBRINHO;SUMARE;;
2024;42523;35042523;20415;SUMARE;LUIS HENRIQUE MARCHI PROFESSOR;SUMARE;4,47;1,83
2024;42547;35042547;20415;SUMARE;ZORAIDE PROENCA KAYSEL PROFESSORA;SUMARE;6,85;5,35
2024;42559;35042559;20415;SUMARE;VITO CARMINE CERBASI PROFESSOR;SUMARE;;3,81
2024;42560;35042560;20415;SUMARE;MARIA CHEILA ALVES PROFESSORA;SUMARE;;3,11
2024;42572;35042572;20415;SUMARE;ANTONIO DO VALLE SOBRINHO;SUMARE;3,36;2,32
2024;42584;35042584;20403;BRAGANCA PAULISTA;JOSE PIRES ALVIM;ATIBAIA;;3,72
2024;42602;35042602;20403;BRAGANCA PAULISTA;AUGUSTA DO AMARAL PECANHA PROFESSORA;PIRACAIA;;3,29
2024;42614;35042614;20417;CAMPINAS LESTE;NEWTON SILVA TELLES PROFESSOR;CAMPINAS;7,86;
